timestamp_utc,F_drag_nN,V_min_V,P_at_Vmin_mW,P_at_100V_mW,P_at_200V_mW,P_at_300V_mW,feasible_at_300V
2024-01-01T12:00:00+00:00,18.1421,225.9,92.938,61.833,87.446,107.099,1
2024-01-01T12:05:00+00:00,15.4893,208.7,76.274,52.792,74.659,91.438,1
2024-01-01T12:10:00+00:00,13.0035,191.3,61.293,44.320,62.677,76.764,1
2024-01-01T12:15:00+00:00,11.1325,177.0,50.475,37.943,53.659,65.719,1
2024-01-01T12:20:00+00:00,10.1899,169.3,45.191,34.730,49.116,60.154,1
2024-01-01T12:25:00+00:00,9.9995,167.7,44.138,34.081,48.198,59.031,1
2024-01-01T12:30:00+00:00,9.9275,167.1,43.740,33.836,47.851,58.605,1
2024-01-01T12:35:00+00:00,9.5169,163.6,41.491,32.436,45.872,56.181,1
2024-01-01T12:40:00+00:00,8.9269,158.5,38.301,30.426,43.028,52.699,1
2024-01-01T12:45:00+00:00,8.7620,157.0,37.419,29.863,42.233,51.725,1
2024-01-01T12:50:00+00:00,9.6232,164.5,42.071,32.799,46.384,56.809,1
2024-01-01T12:55:00+00:00,11.5230,180.0,52.698,39.274,55.542,68.024,1
2024-01-01T13:00:00+00:00,13.7657,196.8,65.816,46.917,66.351,81.263,1
2024-01-01T13:05:00+00:00,15.8812,211.4,78.694,54.128,76.548,93.752,1
2024-01-01T13:10:00+00:00,18.0082,225.1,92.081,61.377,86.800,106.308,1
2024-01-01T13:15:00+00:00,20.0755,237.6,105.480,68.423,96.765,118.512,1
2024-01-01T13:20:00+00:00,21.3802,245.2,114.117,72.870,103.054,126.214,1
2024-01-01T13:25:00+00:00,21.1506,243.9,112.587,72.087,101.947,124.859,1
2024-01-01T13:30:00+00:00,19.3927,233.6,101.014,66.096,93.474,114.481,1
2024-01-01T13:35:00+00:00,16.8374,217.6,84.660,57.387,81.157,99.397,1
2024-01-01T13:40:00+00:00,14.1995,199.9,68.419,48.396,68.442,83.824,1
2024-01-01T13:45:00+00:00,11.9624,183.4,55.221,40.771,57.659,70.618,1
2024-01-01T13:50:00+00:00,10.5381,172.2,47.129,35.917,50.794,62.210,1
2024-01-01T13:55:00+00:00,10.0316,168.0,44.315,34.191,48.353,59.220,1
2024-01-01T14:00:00+00:00,9.9870,167.6,44.069,34.039,48.138,58.957,1
2024-01-01T14:05:00+00:00,9.7715,165.8,42.883,33.304,47.099,57.684,1
2024-01-01T14:10:00+00:00,9.2216,161.1,39.888,31.430,44.449,54.438,1
2024-01-01T14:15:00+00:00,8.7570,157.0,37.392,29.846,42.209,51.695,1
2024-01-01T14:20:00+00:00,9.0451,159.5,38.936,30.828,43.598,53.396,1
2024-01-01T14:25:00+00:00,10.4695,171.6,46.746,35.683,50.463,61.805,1
2024-01-01T14:30:00+00:00,12.6417,188.6,59.168,43.086,60.933,74.628,1
2024-01-01T14:35:00+00:00,14.8440,204.3,72.322,50.593,71.549,87.629,1
2024-01-01T14:40:00+00:00,16.9629,218.4,85.450,57.815,81.762,100.138,1
2024-01-01T14:45:00+00:00,19.1354,232.0,99.342,65.219,92.233,112.962,1
2024-01-01T14:50:00+00:00,20.9538,242.8,111.279,71.416,100.998,123.697,1
2024-01-01T14:55:00+00:00,21.5590,246.3,115.311,73.479,103.915,127.270,1
2024-01-01T15:00:00+00:00,20.4921,240.1,108.223,69.843,98.773,120.971,1
2024-01-01T15:05:00+00:00,18.2063,226.3,93.350,62.052,87.755,107.478,1
2024-01-01T15:10:00+00:00,15.5169,208.9,76.443,52.886,74.792,91.601,1
2024-01-01T15:15:00+00:00,13.0127,191.3,61.347,44.351,62.722,76.818,1
2024-01-01T15:20:00+00:00,11.1353,177.0,50.491,37.952,53.673,65.735,1
2024-01-01T15:25:00+00:00,10.1888,169.3,45.185,34.726,49.111,60.148,1
2024-01-01T15:30:00+00:00,9.9947,167.7,44.111,34.065,48.175,59.002,1
2024-01-01T15:35:00+00:00,9.9255,167.1,43.730,33.829,47.841,58.593,1
2024-01-01T15:40:00+00:00,9.5281,163.7,41.552,32.474,45.926,56.247,1
2024-01-01T15:45:00+00:00,8.9511,158.7,38.431,30.508,43.145,52.841,1
2024-01-01T15:50:00+00:00,8.7830,157.2,37.531,29.935,42.335,51.849,1
2024-01-01T15:55:00+00:00,9.6239,164.5,42.075,32.801,46.388,56.813,1
2024-01-01T16:00:00+00:00,11.5065,179.9,52.604,39.218,55.462,67.927,1
2024-01-01T16:05:00+00:00,13.7574,196.7,65.767,46.889,66.311,81.215,1
2024-01-01T16:10:00+00:00,15.9057,211.5,78.845,54.211,76.666,93.897,1
2024-01-01T16:15:00+00:00,18.0784,225.5,92.530,61.616,87.139,106.723,1
2024-01-01T16:20:00+00:00,20.1949,238.4,106.264,68.830,97.340,119.217,1
2024-01-01T16:25:00+00:00,21.5364,246.1,115.160,73.402,103.806,127.136,1
2024-01-01T16:30:00+00:00,21.3119,244.9,113.662,72.637,102.725,125.811,1
2024-01-01T16:35:00+00:00,19.5229,234.4,101.863,66.540,94.101,115.250,1
2024-01-01T16:40:00+00:00,16.9184,218.2,85.170,57.663,81.548,99.875,1
2024-01-01T16:45:00+00:00,14.2390,200.1,68.657,48.531,68.633,84.057,1
2024-01-01T16:50:00+00:00,11.9808,183.6,55.327,40.834,57.748,70.726,1
2024-01-01T16:55:00+00:00,10.5495,172.3,47.193,35.956,50.849,62.277,1
2024-01-01T17:00:00+00:00,10.0378,168.0,44.349,34.212,48.383,59.257,1
2024-01-01T17:05:00+00:00,9.9880,167.6,44.074,34.042,48.143,58.962,1
2024-01-01T17:10:00+00:00,9.7757,165.8,42.906,33.318,47.119,57.709,1
2024-01-01T17:15:00+00:00,9.2408,161.2,39.992,31.495,44.541,54.551,1
2024-01-01T17:20:00+00:00,8.7895,157.2,37.566,29.957,42.366,51.888,1
2024-01-01T17:25:00+00:00,9.0717,159.8,39.079,30.919,43.726,53.553,1
2024-01-01T17:30:00+00:00,10.4708,171.6,46.753,35.687,50.470,61.813,1
2024-01-01T17:35:00+00:00,12.6225,188.4,59.056,43.021,60.841,74.515,1
2024-01-01T17:40:00+00:00,14.8312,204.3,72.245,50.549,71.487,87.554,1
2024-01-01T17:45:00+00:00,16.9797,218.6,85.555,57.872,81.843,100.237,1
2024-01-01T17:50:00+00:00,19.1972,232.4,99.743,65.430,92.531,113.327,1
