timestamp_utc,F_drag_nN,V_min_V,P_at_Vmin_mW,P_at_100V_mW,P_at_200V_mW,P_at_300V_mW,P_at_350V_mW,feasible_at_350V
2024-01-01T12:00:00+00:00,27.5871,278.6,156.934,94.025,132.971,162.855,175.904,1
2024-01-01T12:05:00+00:00,23.5532,257.4,128.794,80.276,113.527,139.042,150.182,1
2024-01-01T12:10:00+00:00,19.7732,235.9,103.498,67.393,95.308,116.728,126.081,1
2024-01-01T12:15:00+00:00,16.9283,218.2,85.232,57.696,81.595,99.933,107.940,1
2024-01-01T12:20:00+00:00,15.4949,208.8,76.308,52.811,74.686,91.471,98.801,1
2024-01-01T12:25:00+00:00,15.2054,206.8,74.530,51.824,73.291,89.763,96.955,1
2024-01-01T12:30:00+00:00,15.0958,206.1,73.859,51.451,72.762,89.115,96.256,1
2024-01-01T12:35:00+00:00,14.4715,201.8,70.061,49.323,69.753,85.430,92.275,1
2024-01-01T12:40:00+00:00,13.5744,195.4,64.675,46.265,65.429,80.134,86.555,1
2024-01-01T12:45:00+00:00,13.3235,193.6,63.184,45.410,64.220,78.653,84.955,1
2024-01-01T12:50:00+00:00,14.6331,202.9,71.040,49.874,70.532,86.384,93.305,1
2024-01-01T12:55:00+00:00,17.5221,222.0,88.985,59.720,84.457,103.438,111.726,1
2024-01-01T13:00:00+00:00,20.9323,242.7,111.136,71.343,100.894,123.570,133.471,1
2024-01-01T13:05:00+00:00,24.1492,260.6,132.881,82.307,116.400,142.560,153.983,1
2024-01-01T13:10:00+00:00,27.3834,277.6,155.488,93.331,131.989,161.653,174.606,1
2024-01-01T13:15:00+00:00,30.5270,293.0,178.111,104.045,147.142,180.211,194.650,1
2024-01-01T13:20:00+00:00,32.5110,302.4,192.696,110.807,156.705,191.923,207.301,1
2024-01-01T13:25:00+00:00,32.1619,300.8,190.113,109.617,155.022,189.862,205.075,1
2024-01-01T13:30:00+00:00,29.4888,288.0,170.572,100.506,142.137,174.082,188.030,1
2024-01-01T13:35:00+00:00,25.6032,268.4,142.956,87.263,123.409,151.144,163.254,1
2024-01-01T13:40:00+00:00,21.5919,246.5,115.531,73.591,104.074,127.464,137.677,1
2024-01-01T13:45:00+00:00,18.1901,226.2,93.246,61.997,87.677,107.382,115.986,1
2024-01-01T13:50:00+00:00,16.0244,212.3,79.581,54.616,77.238,94.597,102.177,1
2024-01-01T13:55:00+00:00,15.2542,207.2,74.829,51.991,73.526,90.051,97.266,1
2024-01-01T14:00:00+00:00,15.1864,206.7,74.414,51.760,73.199,89.650,96.833,1
2024-01-01T14:05:00+00:00,14.8586,204.5,72.411,50.642,71.619,87.715,94.743,1
2024-01-01T14:10:00+00:00,14.0225,198.6,67.354,47.793,67.589,82.779,89.412,1
2024-01-01T14:15:00+00:00,13.3160,193.5,63.140,45.385,64.184,78.609,84.907,1
2024-01-01T14:20:00+00:00,13.7540,196.7,65.747,46.878,66.295,81.195,87.700,1
2024-01-01T14:25:00+00:00,15.9200,211.6,78.934,54.260,76.735,93.981,101.511,1
2024-01-01T14:30:00+00:00,19.2231,232.5,99.911,65.518,92.656,113.480,122.572,1
2024-01-01T14:35:00+00:00,22.5719,252.0,122.123,76.932,108.798,133.250,143.926,1
2024-01-01T14:40:00+00:00,25.7940,269.4,144.290,87.914,124.328,152.271,164.471,1
2024-01-01T14:45:00+00:00,29.0975,286.1,167.747,99.172,140.251,171.772,185.535,1
2024-01-01T14:50:00+00:00,31.8626,299.4,187.904,108.597,153.579,188.095,203.166,1
2024-01-01T14:55:00+00:00,32.7829,303.7,194.713,111.733,158.015,193.528,209.034,1
2024-01-01T15:00:00+00:00,31.1605,296.1,182.743,106.204,150.195,183.951,198.689,1
2024-01-01T15:05:00+00:00,27.6847,279.1,157.629,94.357,133.442,163.432,176.527,1
2024-01-01T15:10:00+00:00,23.5951,257.6,129.081,80.419,113.730,139.290,150.450,1
2024-01-01T15:15:00+00:00,19.7872,235.9,103.590,67.440,95.375,116.810,126.170,1
2024-01-01T15:20:00+00:00,16.9325,218.3,85.258,57.711,81.616,99.958,107.967,1
2024-01-01T15:25:00+00:00,15.4932,208.8,76.298,52.805,74.678,91.462,98.790,1
2024-01-01T15:30:00+00:00,15.1981,206.8,74.486,51.800,73.256,89.719,96.908,1
2024-01-01T15:35:00+00:00,15.0928,206.1,73.841,51.441,72.748,89.098,96.237,1
2024-01-01T15:40:00+00:00,14.4885,201.9,70.164,49.381,69.835,85.530,92.383,1
2024-01-01T15:45:00+00:00,13.6112,195.7,64.894,46.391,65.606,80.351,86.789,1
2024-01-01T15:50:00+00:00,13.3556,193.8,63.375,45.520,64.375,78.843,85.160,1
2024-01-01T15:55:00+00:00,14.6343,202.9,71.048,49.878,70.538,86.391,93.313,1
2024-01-01T16:00:00+00:00,17.4970,221.9,88.826,59.635,84.336,103.290,111.566,1
2024-01-01T16:05:00+00:00,20.9197,242.6,111.053,71.300,100.834,123.496,133.391,1
2024-01-01T16:10:00+00:00,24.1864,260.8,133.137,82.434,116.580,142.780,154.220,1
2024-01-01T16:15:00+00:00,27.4902,278.1,156.246,93.694,132.504,162.284,175.286,1
2024-01-01T16:20:00+00:00,30.7086,293.9,179.436,104.664,148.017,181.283,195.808,1
2024-01-01T16:25:00+00:00,32.7485,303.5,194.457,111.616,157.849,193.325,208.815,1
2024-01-01T16:30:00+00:00,32.4072,301.9,191.928,110.453,156.204,191.310,206.639,1
2024-01-01T16:35:00+00:00,29.6868,289.0,172.005,101.181,143.092,175.251,189.293,1
2024-01-01T16:40:00+00:00,25.7264,269.0,143.817,87.683,124.002,151.871,164.040,1
2024-01-01T16:45:00+00:00,21.6520,246.8,115.933,73.796,104.364,127.819,138.060,1
2024-01-01T16:50:00+00:00,18.2181,226.4,93.425,62.092,87.812,107.547,116.164,1
2024-01-01T16:55:00+00:00,16.0416,212.4,79.689,54.674,77.321,94.699,102.287,1
2024-01-01T17:00:00+00:00,15.2637,207.2,74.887,52.023,73.572,90.106,97.326,1
2024-01-01T17:05:00+00:00,15.1878,206.7,74.423,51.765,73.206,89.659,96.843,1
2024-01-01T17:10:00+00:00,14.8650,204.5,72.451,50.664,71.650,87.753,94.784,1
2024-01-01T17:15:00+00:00,14.0517,198.8,67.530,47.892,67.730,82.952,89.598,1
2024-01-01T17:20:00+00:00,13.3655,193.9,63.433,45.553,64.422,78.901,85.223,1
2024-01-01T17:25:00+00:00,13.7945,197.0,65.988,47.016,66.490,81.433,87.958,1
2024-01-01T17:30:00+00:00,15.9220,211.6,78.947,54.267,76.745,93.993,101.524,1
2024-01-01T17:35:00+00:00,19.1939,232.4,99.722,65.418,92.516,113.308,122.387,1
2024-01-01T17:40:00+00:00,22.5525,251.9,121.992,76.866,108.704,133.135,143.802,1
2024-01-01T17:45:00+00:00,25.8195,269.5,144.468,88.000,124.451,152.421,164.634,1
2024-01-01T17:50:00+00:00,29.1915,286.6,168.425,99.493,140.704,172.327,186.134,1
2024-01-01T17:55:00+00:00,32.0413,300.2,189.222,109.206,154.440,189.150,204.305,1
2024-01-01T18:00:00+00:00,33.0308,304.8,196.555,112.578,159.210,194.992,210.615,1
2024-01-01T18:05:00+00:00,31.4196,297.3,184.644,107.087,151.444,185.480,200.341,1
2024-01-01T18:10:00+00:00,27.8938,280.1,159.119,95.070,134.450,164.666,177.860,1
2024-01-01T18:15:00+00:00,23.7275,258.4,129.987,80.870,114.368,140.071,151.294,1
2024-01-01T18:20:00+00:00,19.8519,236.3,104.013,67.661,95.687,117.192,126.582,1
2024-01-01T18:25:00+00:00,16.9599,218.4,85.431,57.804,81.747,100.120,108.142,1
2024-01-01T18:30:00+00:00,15.5105,208.9,76.404,52.864,74.761,91.564,98.900,1
2024-01-01T18:35:00+00:00,15.2137,206.9,74.581,51.853,73.331,89.812,97.008,1
2024-01-01T18:40:00+00:00,15.1062,206.1,73.923,51.486,72.813,89.177,96.322,1
2024-01-01T18:45:00+00:00,14.5091,202.0,70.289,49.451,69.935,85.652,92.515,1
2024-01-01T18:50:00+00:00,13.6533,196.0,65.145,46.534,65.809,80.600,87.058,1
2024-01-01T18:55:00+00:00,13.4122,194.2,63.710,45.712,64.647,79.176,85.520,1
2024-01-01T19:00:00+00:00,14.6726,203.2,71.280,50.009,70.723,86.617,93.557,1
2024-01-01T19:05:00+00:00,17.4870,221.8,88.762,59.601,84.288,103.231,111.502,1
2024-01-01T19:10:00+00:00,20.8707,242.3,110.728,71.133,100.598,123.207,133.078,1
2024-01-01T19:15:00+00:00,24.1406,260.6,132.822,82.278,116.359,142.510,153.928,1
2024-01-01T19:20:00+00:00,27.4872,278.1,156.225,93.684,132.490,162.266,175.267,1
2024-01-01T19:25:00+00:00,30.7773,294.2,179.938,104.898,148.348,181.689,196.246,1
2024-01-01T19:30:00+00:00,32.9074,304.3,195.637,112.158,158.615,194.263,209.828,1
2024-01-01T19:35:00+00:00,32.6412,303.0,193.661,111.250,157.332,192.691,208.130,1
2024-01-01T19:40:00+00:00,29.9357,290.2,173.809,102.029,144.291,176.720,190.880,1
2024-01-01T19:45:00+00:00,25.9270,270.1,145.220,88.367,124.969,153.056,165.319,1
2024-01-01T19:50:00+00:00,21.7771,247.5,116.771,74.223,104.967,128.557,138.858,1
2024-01-01T19:55:00+00:00,18.2761,226.7,93.797,62.290,88.092,107.890,116.534,1
