timestamp_utc,F_drag_nN,V_min_V,P_at_Vmin_mW,P_at_100V_mW,P_at_200V_mW,P_at_300V_mW,feasible_at_300V
2024-01-01T12:00:00+00:00,6.5049,135.3,25.786,22.171,31.354,38.400,1
2024-01-01T12:05:00+00:00,5.2693,121.8,19.817,17.959,25.398,31.106,1
2024-01-01T12:10:00+00:00,4.0852,107.2,14.416,13.924,19.691,24.116,1
2024-01-01T12:15:00+00:00,3.2093,100.0,10.938,10.938,15.469,18.945,1
2024-01-01T12:20:00+00:00,2.7578,100.0,9.399,9.399,13.293,16.280,1
2024-01-01T12:25:00+00:00,2.6391,100.0,8.995,8.995,12.720,15.579,1
2024-01-01T12:30:00+00:00,2.6060,100.0,8.882,8.882,12.561,15.384,1
2024-01-01T12:35:00+00:00,2.4495,100.0,8.348,8.348,11.807,14.460,1
2024-01-01T12:40:00+00:00,2.1848,100.0,7.447,7.447,10.531,12.898,1
2024-01-01T12:45:00+00:00,2.0152,100.0,6.868,6.868,9.713,11.896,1
2024-01-01T12:50:00+00:00,2.1614,100.0,7.367,7.367,10.418,12.760,1
2024-01-01T12:55:00+00:00,2.7365,100.0,9.327,9.327,13.190,16.154,1
2024-01-01T13:00:00+00:00,3.6481,101.3,12.515,12.434,17.584,21.536,1
2024-01-01T13:05:00+00:00,4.6625,114.5,17.006,15.891,22.473,27.524,1
2024-01-01T13:10:00+00:00,5.6670,126.3,21.703,19.315,27.315,33.454,1
2024-01-01T13:15:00+00:00,6.6480,136.8,26.497,22.658,32.044,39.245,1
2024-01-01T13:20:00+00:00,7.4609,144.9,30.607,25.429,35.962,44.044,1
2024-01-01T13:25:00+00:00,7.7898,148.0,32.303,26.550,37.547,45.986,1
2024-01-01T13:30:00+00:00,7.4024,144.3,30.307,25.229,35.680,43.699,1
2024-01-01T13:35:00+00:00,6.4125,134.3,25.329,21.856,30.908,37.855,1
2024-01-01T13:40:00+00:00,5.1675,120.6,19.339,17.612,24.908,30.506,1
2024-01-01T13:45:00+00:00,4.0022,106.1,14.051,13.641,19.291,23.626,1
2024-01-01T13:50:00+00:00,3.1629,100.0,10.780,10.780,15.245,18.672,1
2024-01-01T13:55:00+00:00,2.7485,100.0,9.368,9.368,13.248,16.225,1
2024-01-01T14:00:00+00:00,2.6486,100.0,9.027,9.027,12.767,15.636,1
2024-01-01T14:05:00+00:00,2.6106,100.0,8.898,8.898,12.583,15.411,1
2024-01-01T14:10:00+00:00,2.4396,100.0,8.315,8.315,11.759,14.402,1
2024-01-01T14:15:00+00:00,2.1716,100.0,7.401,7.401,10.467,12.820,1
2024-01-01T14:20:00+00:00,2.0173,100.0,6.875,6.875,9.723,11.909,1
2024-01-01T14:25:00+00:00,2.1927,100.0,7.473,7.473,10.569,12.944,1
2024-01-01T14:30:00+00:00,2.7978,100.0,9.536,9.536,13.485,16.516,1
2024-01-01T14:35:00+00:00,3.7234,102.3,12.839,12.691,17.947,21.981,1
2024-01-01T14:40:00+00:00,4.7394,115.5,17.358,16.153,22.844,27.978,1
2024-01-01T14:45:00+00:00,5.7480,127.2,22.092,19.591,27.706,33.932,1
2024-01-01T14:50:00+00:00,6.7302,137.6,26.907,22.939,32.440,39.731,1
2024-01-01T14:55:00+00:00,7.5221,145.5,30.921,25.637,36.257,44.405,1
2024-01-01T15:00:00+00:00,7.7993,148.1,32.352,26.582,37.593,46.042,1
2024-01-01T15:05:00+00:00,7.3501,143.8,30.040,25.051,35.428,43.390,1
2024-01-01T15:10:00+00:00,6.3193,133.3,24.870,21.538,30.459,37.305,1
2024-01-01T15:15:00+00:00,5.0656,119.4,18.864,17.265,24.416,29.904,1
