step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
100,3.670877e-09,-2.703626e-02,-1.604775e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.558045e-06,1.864050e-07,0.000000e+00,0.000000e+00,1.738836e-13,-3.886262e-13,1.142875e-13,0.000000e+00,3.886262e-13,0.0000,0.0000,100.0000,nan
200,7.341753e-09,-5.327653e-02,-3.162303e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.464843e-06,2.219107e-07,0.000000e+00,0.000000e+00,-5.760743e-13,-3.600830e-13,1.284291e-13,0.000000e+00,3.600830e-13,0.0000,0.0000,100.0000,nan
300,1.101263e-08,-7.625049e-02,-4.525955e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.985516e-06,2.707310e-07,0.000000e+00,0.000000e+00,-2.470671e-13,-2.891551e-13,6.833165e-14,0.000000e+00,2.891551e-13,0.0000,0.0000,100.0000,nan
400,1.468351e-08,-9.741288e-02,-5.782078e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.639335e-06,2.174725e-07,0.000000e+00,0.000000e+00,1.306772e-12,-2.961106e-13,-3.923426e-14,0.000000e+00,2.961106e-13,0.0000,0.0000,100.0000,nan
500,1.835438e-08,-1.162422e-01,-6.899719e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.248772e-06,2.041578e-07,0.000000e+00,0.000000e+00,-1.095194e-13,-3.509651e-13,-6.212616e-14,0.000000e+00,3.509651e-13,0.0000,0.0000,100.0000,nan
600,2.202526e-08,-1.334795e-01,-7.922865e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.973603e-06,1.864050e-07,0.000000e+00,0.000000e+00,-1.946229e-13,-3.785912e-13,-5.476326e-15,0.000000e+00,3.785912e-13,0.0000,0.0000,100.0000,nan
700,2.569614e-08,-1.468192e-01,-8.714662e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.307871e-06,1.508993e-07,0.000000e+00,0.000000e+00,-4.409728e-13,-3.102375e-13,2.397379e-14,0.000000e+00,3.102375e-13,0.0000,0.0000,100.0000,nan
800,2.936701e-08,-1.591434e-01,-9.446179e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.192477e-06,1.997196e-07,0.000000e+00,0.000000e+00,4.669851e-13,-2.765251e-13,3.046669e-14,0.000000e+00,2.765251e-13,0.0000,0.0000,100.0000,nan
900,3.303789e-08,-1.692717e-01,-1.004736e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.846297e-06,2.085960e-07,0.000000e+00,0.000000e+00,6.835265e-13,-3.016482e-13,9.375332e-14,0.000000e+00,3.016482e-13,0.0000,0.0000,100.0000,nan
1000,3.670877e-08,-1.778355e-01,-1.055567e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.624386e-06,2.396635e-07,0.000000e+00,0.000000e+00,-1.759359e-13,-3.078381e-13,1.573192e-13,0.000000e+00,3.078381e-13,0.0000,0.0000,100.0000,nan
