step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
100,3.670877e-09,-2.441504e-02,-1.518427e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.336134e-06,1.997196e-07,0.000000e+00,0.000000e+00,4.675459e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
200,7.341753e-09,-4.911823e-02,-3.054775e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.340573e-06,1.553375e-07,0.000000e+00,0.000000e+00,6.330145e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
300,1.101263e-08,-7.046829e-02,-4.382584e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.807987e-06,1.908432e-07,0.000000e+00,0.000000e+00,6.417412e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
400,1.468351e-08,-8.993221e-02,-5.593089e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.492874e-06,1.952814e-07,0.000000e+00,0.000000e+00,3.177980e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
500,1.835438e-08,-1.072218e-01,-6.668370e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.133379e-06,2.041578e-07,0.000000e+00,0.000000e+00,-7.432321e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
600,2.202526e-08,-1.229135e-01,-7.644269e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.813827e-06,1.553375e-07,0.000000e+00,0.000000e+00,1.710796e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
700,2.569614e-08,-1.366666e-01,-8.499606e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.534220e-06,2.041578e-07,0.000000e+00,0.000000e+00,-3.280985e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
800,2.936701e-08,-1.473285e-01,-9.162696e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.006072e-06,1.997196e-07,0.000000e+00,0.000000e+00,2.946767e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
900,3.303789e-08,-1.577285e-01,-9.809494e-14,0.000000e+00,0.000000e+00,0.000000e+00,1.983881e-06,2.219107e-07,0.000000e+00,0.000000e+00,-2.227371e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1000,3.670877e-08,-1.656136e-01,-1.029989e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.557813e-06,2.219107e-07,0.000000e+00,0.000000e+00,4.225844e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1100,4.037964e-08,-1.724508e-01,-1.072511e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.335902e-06,1.775285e-07,0.000000e+00,0.000000e+00,-8.087627e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1200,4.405052e-08,-1.789213e-01,-1.112753e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.309273e-06,2.130342e-07,0.000000e+00,0.000000e+00,1.807614e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1300,4.772140e-08,-1.843178e-01,-1.146315e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.167250e-06,2.529782e-07,0.000000e+00,0.000000e+00,-7.147236e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1400,5.139227e-08,-1.890331e-01,-1.175640e-13,0.000000e+00,0.000000e+00,0.000000e+00,9.719687e-07,1.730903e-07,0.000000e+00,0.000000e+00,-5.343865e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1500,5.506315e-08,-1.920457e-01,-1.194376e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.234288e-07,2.130342e-07,0.000000e+00,0.000000e+00,1.720471e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1600,5.873403e-08,-1.949011e-01,-1.212135e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.145523e-07,2.307871e-07,0.000000e+00,0.000000e+00,4.338577e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1700,6.240490e-08,-1.986734e-01,-1.235595e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.432605e-07,2.041578e-07,0.000000e+00,0.000000e+00,-5.699732e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1800,6.607578e-08,-2.018170e-01,-1.255146e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.367434e-07,2.041578e-07,0.000000e+00,0.000000e+00,4.656464e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1900,6.974666e-08,-2.046462e-01,-1.272741e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.746084e-07,1.952814e-07,0.000000e+00,0.000000e+00,-1.202353e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2000,7.341753e-08,-2.065061e-01,-1.284309e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.257881e-07,3.106749e-07,0.000000e+00,0.000000e+00,4.943247e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2100,7.708841e-08,-2.079207e-01,-1.293107e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.148327e-07,2.751692e-07,0.000000e+00,0.000000e+00,3.978727e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2200,8.075929e-08,-2.090734e-01,-1.300275e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.370238e-07,3.417424e-07,0.000000e+00,0.000000e+00,-8.997323e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2300,8.443016e-08,-2.110119e-01,-1.312331e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,2.751692e-07,0.000000e+00,0.000000e+00,-3.843860e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2400,8.810104e-08,-2.121908e-01,-1.319663e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.281474e-07,3.284278e-07,0.000000e+00,0.000000e+00,-3.996113e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2500,9.177192e-08,-2.137887e-01,-1.329601e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.325856e-07,2.618546e-07,0.000000e+00,0.000000e+00,3.800960e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2600,9.544279e-08,-2.153605e-01,-1.339376e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.103945e-07,2.441017e-07,0.000000e+00,0.000000e+00,9.603375e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2700,9.911367e-08,-2.170633e-01,-1.349966e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.814059e-07,2.929221e-07,0.000000e+00,0.000000e+00,-8.939743e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2800,1.027845e-07,-2.185303e-01,-1.359090e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.725295e-07,3.239896e-07,0.000000e+00,0.000000e+00,2.565200e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2900,1.064554e-07,-2.209404e-01,-1.374079e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.790466e-07,2.707310e-07,0.000000e+00,0.000000e+00,-3.975212e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3000,1.101263e-07,-2.231670e-01,-1.387927e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.056759e-07,3.284278e-07,0.000000e+00,0.000000e+00,2.196523e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3100,1.137972e-07,-2.254199e-01,-1.401938e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.145523e-07,3.328660e-07,0.000000e+00,0.000000e+00,-6.951329e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3200,1.174681e-07,-2.278562e-01,-1.417090e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.500580e-07,3.373042e-07,0.000000e+00,0.000000e+00,1.522953e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
