step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
100,3.670877e-09,-2.438884e-02,-1.516798e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.331696e-06,1.997196e-07,0.000000e+00,0.000000e+00,4.694982e-13,-2.618101e-14,-7.666116e-14,0.000000e+00,2.618101e-14,0.0000,0.0000,100.0000,nan
200,7.341753e-09,-4.898725e-02,-3.046629e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.322820e-06,1.553375e-07,0.000000e+00,0.000000e+00,6.524163e-13,-5.271242e-14,-8.524826e-14,0.000000e+00,5.271242e-14,0.0000,0.0000,100.0000,nan
300,1.101263e-08,-7.038970e-02,-4.377696e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.816863e-06,1.908432e-07,0.000000e+00,0.000000e+00,5.723480e-13,-1.038729e-14,-1.139424e-13,0.000000e+00,1.038729e-14,0.0000,0.0000,100.0000,nan
400,1.468351e-08,-9.045613e-02,-5.625674e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.594953e-06,1.952814e-07,0.000000e+00,0.000000e+00,3.820769e-13,1.516894e-14,-1.065626e-13,0.000000e+00,-1.516894e-14,0.0000,0.0000,100.0000,nan
500,1.835438e-08,-1.071170e-01,-6.661853e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.026861e-06,2.041578e-07,0.000000e+00,0.000000e+00,-8.050324e-13,-1.242534e-14,-6.120001e-14,0.000000e+00,1.242534e-14,0.0000,0.0000,100.0000,nan
600,2.202526e-08,-1.224157e-01,-7.613314e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.747254e-06,1.553375e-07,0.000000e+00,0.000000e+00,1.990287e-13,-3.264071e-14,-6.184376e-14,0.000000e+00,3.264071e-14,0.0000,0.0000,100.0000,nan
700,2.569614e-08,-1.363260e-01,-8.478426e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.560849e-06,2.041578e-07,0.000000e+00,0.000000e+00,-2.702110e-13,-8.342100e-14,-7.990197e-14,0.000000e+00,8.342100e-14,0.0000,0.0000,100.0000,nan
800,2.936701e-08,-1.473547e-01,-9.164325e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.068207e-06,1.997196e-07,0.000000e+00,0.000000e+00,2.709571e-13,-9.118530e-14,-9.243715e-14,0.000000e+00,9.118530e-14,0.0000,0.0000,100.0000,nan
900,3.303789e-08,-1.576499e-01,-9.804606e-14,0.000000e+00,0.000000e+00,0.000000e+00,1.966128e-06,2.219107e-07,0.000000e+00,0.000000e+00,-2.022077e-13,-9.362328e-14,-1.202911e-13,0.000000e+00,9.362328e-14,0.0000,0.0000,100.0000,nan
1000,3.670877e-08,-1.655874e-01,-1.029826e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.566689e-06,2.219107e-07,0.000000e+00,0.000000e+00,4.202798e-13,-1.177765e-13,-9.696817e-14,0.000000e+00,1.177765e-13,0.0000,0.0000,100.0000,nan
1100,4.037964e-08,-1.735511e-01,-1.079354e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.526745e-06,1.775285e-07,0.000000e+00,0.000000e+00,-7.785410e-13,-1.486561e-13,-1.023413e-13,0.000000e+00,1.486561e-13,0.0000,0.0000,100.0000,nan
1200,4.405052e-08,-1.795763e-01,-1.116826e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.229385e-06,2.085960e-07,0.000000e+00,0.000000e+00,7.079895e-14,-1.425725e-13,-1.666493e-13,0.000000e+00,1.425725e-13,0.0000,0.0000,100.0000,nan
1300,4.772140e-08,-1.848417e-01,-1.149573e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.149497e-06,2.574164e-07,0.000000e+00,0.000000e+00,-7.299512e-13,-1.288475e-13,-1.648178e-13,0.000000e+00,1.288475e-13,0.0000,0.0000,100.0000,nan
1400,5.139227e-08,-1.893737e-01,-1.177758e-13,0.000000e+00,0.000000e+00,0.000000e+00,9.409012e-07,1.730903e-07,0.000000e+00,0.000000e+00,-4.856155e-13,-1.257595e-13,-2.020615e-13,0.000000e+00,1.257595e-13,0.0000,0.0000,100.0000,nan
1500,5.506315e-08,-1.933032e-01,-1.202197e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.787662e-07,2.130342e-07,0.000000e+00,0.000000e+00,2.289033e-13,-1.074579e-13,-2.005374e-13,0.000000e+00,1.074579e-13,0.0000,0.0000,100.0000,nan
1600,5.873403e-08,-1.966301e-01,-1.222888e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.944402e-07,2.307871e-07,0.000000e+00,0.000000e+00,3.272506e-13,-1.022912e-13,-1.971600e-13,0.000000e+00,1.022912e-13,0.0000,0.0000,100.0000,nan
1700,6.240490e-08,-1.988044e-01,-1.236410e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.769677e-07,2.085960e-07,0.000000e+00,0.000000e+00,-5.494527e-13,-1.152936e-13,-2.345639e-13,0.000000e+00,1.152936e-13,0.0000,0.0000,100.0000,nan
1800,6.607578e-08,-2.015288e-01,-1.253354e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.568556e-07,1.952814e-07,0.000000e+00,0.000000e+00,4.033835e-13,-1.485878e-13,-2.286489e-13,0.000000e+00,1.485878e-13,0.0000,0.0000,100.0000,nan
1900,6.974666e-08,-2.041747e-01,-1.269809e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.479791e-07,1.997196e-07,0.000000e+00,0.000000e+00,-8.192194e-14,-1.781407e-13,-2.350889e-13,0.000000e+00,1.781407e-13,0.0000,0.0000,100.0000,nan
2000,7.341753e-08,-2.061394e-01,-1.282028e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.435409e-07,3.106749e-07,0.000000e+00,0.000000e+00,5.635861e-13,-1.712986e-13,-1.910979e-13,0.000000e+00,1.712986e-13,0.0000,0.0000,100.0000,nan
2100,7.708841e-08,-2.073182e-01,-1.289359e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.748888e-07,2.751692e-07,0.000000e+00,0.000000e+00,4.773661e-13,-2.133362e-13,-1.655128e-13,0.000000e+00,2.133362e-13,0.0000,0.0000,100.0000,nan
2200,8.075929e-08,-2.084185e-01,-1.296202e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.192710e-07,3.328660e-07,0.000000e+00,0.000000e+00,-9.040023e-13,-2.652834e-13,-1.344348e-13,0.000000e+00,2.652834e-13,0.0000,0.0000,100.0000,nan
2300,8.443016e-08,-2.102784e-01,-1.307770e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,2.884839e-07,0.000000e+00,0.000000e+00,-1.864346e-13,-2.465411e-13,-1.346325e-13,0.000000e+00,2.465411e-13,0.0000,0.0000,100.0000,nan
2400,8.810104e-08,-2.120598e-01,-1.318848e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.257881e-07,3.239896e-07,0.000000e+00,0.000000e+00,-4.318997e-13,-2.109159e-13,-1.254525e-13,0.000000e+00,2.109159e-13,0.0000,0.0000,100.0000,nan
2500,9.177192e-08,-2.135530e-01,-1.328135e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.192710e-07,2.662928e-07,0.000000e+00,0.000000e+00,2.631252e-13,-1.942969e-13,-9.589065e-14,0.000000e+00,1.942969e-13,0.0000,0.0000,100.0000,nan
2600,9.544279e-08,-2.156749e-01,-1.341331e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.035970e-07,2.441017e-07,0.000000e+00,0.000000e+00,9.868017e-14,-1.652367e-13,-1.000191e-13,0.000000e+00,1.652367e-13,0.0000,0.0000,100.0000,nan
2700,9.911367e-08,-2.177444e-01,-1.354202e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.391027e-07,2.884839e-07,0.000000e+00,0.000000e+00,-8.884657e-13,-1.449369e-13,-8.993496e-14,0.000000e+00,1.449369e-13,0.0000,0.0000,100.0000,nan
2800,1.027845e-07,-2.201545e-01,-1.369191e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.323052e-07,3.239896e-07,0.000000e+00,0.000000e+00,2.859207e-13,-1.155813e-13,-7.927327e-14,0.000000e+00,1.155813e-13,0.0000,0.0000,100.0000,nan
2900,1.064554e-07,-2.224859e-01,-1.383691e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.612938e-07,2.662928e-07,0.000000e+00,0.000000e+00,-3.979106e-13,-1.358100e-13,-6.968285e-14,0.000000e+00,1.358100e-13,0.0000,0.0000,100.0000,nan
