step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
100,3.670877e-09,-2.684412e-02,-1.593371e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.526978e-06,1.864050e-07,0.000000e+00,0.000000e+00,1.986834e-13,-3.757206e-12,1.489560e-12,0.000000e+00,3.757206e-12,0.0000,0.0000,100.0000,nan
200,7.341753e-09,-5.333143e-02,-3.165562e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.504786e-06,2.219107e-07,0.000000e+00,0.000000e+00,-6.617050e-13,-3.258660e-12,2.326104e-12,0.000000e+00,3.258660e-12,0.0000,0.0000,100.0000,nan
300,1.101263e-08,-7.545450e-02,-4.478708e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.847931e-06,2.707310e-07,0.000000e+00,0.000000e+00,-7.157245e-14,-2.407518e-12,2.503957e-12,0.000000e+00,2.407518e-12,0.0000,0.0000,100.0000,nan
400,1.468351e-08,-9.678158e-02,-5.744606e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.665964e-06,2.174725e-07,0.000000e+00,0.000000e+00,1.286058e-12,-2.189418e-12,2.064855e-12,0.000000e+00,2.189418e-12,0.0000,0.0000,100.0000,nan
500,1.835438e-08,-1.163794e-01,-6.907865e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.373042e-06,2.041578e-07,0.000000e+00,0.000000e+00,-1.403931e-14,-2.546486e-12,2.255278e-12,0.000000e+00,2.546486e-12,0.0000,0.0000,100.0000,nan
600,2.202526e-08,-1.337815e-01,-7.940786e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.000232e-06,1.864050e-07,0.000000e+00,0.000000e+00,-2.310090e-13,-2.393369e-12,2.975183e-12,0.000000e+00,2.393369e-12,0.0000,0.0000,100.0000,nan
700,2.569614e-08,-1.479172e-01,-8.779831e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.441017e-06,1.553375e-07,0.000000e+00,0.000000e+00,-3.782548e-13,-1.451727e-12,3.860285e-12,0.000000e+00,1.451727e-12,0.0000,0.0000,100.0000,nan
800,2.936701e-08,-1.611745e-01,-9.566741e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.338938e-06,1.952814e-07,0.000000e+00,0.000000e+00,3.644953e-13,-4.431727e-13,4.300520e-12,0.000000e+00,4.431727e-13,0.0000,0.0000,100.0000,nan
900,3.303789e-08,-1.722635e-01,-1.022494e-13,0.000000e+00,0.000000e+00,0.000000e+00,2.001634e-06,2.085960e-07,0.000000e+00,0.000000e+00,4.725155e-13,1.285959e-13,4.157540e-12,0.000000e+00,-1.285959e-13,0.0000,0.0000,100.0000,nan
1000,3.670877e-08,-1.812939e-01,-1.076095e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.699836e-06,2.396635e-07,0.000000e+00,0.000000e+00,-1.396665e-13,1.246279e-12,4.356543e-12,0.000000e+00,-1.246279e-12,0.0000,0.0000,100.0000,nan
1100,4.037964e-08,-1.896106e-01,-1.125461e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.531184e-06,1.864050e-07,0.000000e+00,0.000000e+00,-4.812273e-13,2.131359e-12,3.432500e-12,0.000000e+00,-2.131359e-12,0.0000,0.0000,100.0000,nan
1200,4.405052e-08,-1.954845e-01,-1.160326e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.176127e-06,2.263489e-07,0.000000e+00,0.000000e+00,3.841341e-14,3.010863e-12,1.743952e-12,0.000000e+00,-3.010863e-12,0.0000,0.0000,100.0000,nan
1300,4.772140e-08,-2.003977e-01,-1.189489e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.034104e-06,2.396635e-07,0.000000e+00,0.000000e+00,6.622557e-13,4.064996e-12,2.699956e-13,0.000000e+00,-4.064996e-12,0.0000,0.0000,100.0000,nan
