#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
0 0.00000000000000e+00 0.00000000000000e+00 -2.50000000000000e-02 6.00000000000000e-03 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 1.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
1 3.67110000000000e-11 4.46771323265443e-14 -2.49999999982335e-02 5.99999644451117e-03 2.21722428577745e-33 1.73113891160963e-31 -1.76452351353122e-28 1.00000000000021e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
2 7.34220000000000e-11 1.78709171359075e-13 -2.49999999826033e-02 5.99998577787772e-03 4.43444817652192e-33 6.88025839627801e-31 -3.52906253978263e-28 1.00000000000083e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
3 1.10133000000000e-10 4.02095443204654e-13 -2.49999999393348e-02 5.99996800013987e-03 6.65164975623126e-33 1.54473496533301e-30 -5.29358828097003e-28 1.00000000000188e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
4 1.46844000000000e-10 7.14834823477344e-13 -2.49999998546535e-02 5.99994311136448e-03 8.86881783648368e-33 2.74323804235656e-30 -7.05809411605649e-28 1.00000000000334e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
5 1.83555000000000e-10 1.11692573649268e-12 -2.49999997147851e-02 5.99991111164512e-03 1.10859412097717e-32 4.28353056220517e-30 -8.82257342407977e-28 1.00000000000522e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
6 2.20266000000000e-10 1.60836615453487e-12 -2.49999995059557e-02 5.99987200110204e-03 1.33030086513072e-32 6.16560673382636e-30 -1.05870195841772e-27 1.00000000000751e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
7 2.56977000000000e-10 2.18915359719679e-12 -2.49999992143914e-02 5.99982577988216e-03 1.55200089169096e-32 8.38945948363396e-30 -1.23514259756104e-27 1.00000000001023e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
8 2.93688000000000e-10 2.85928513047692e-12 -2.49999988263186e-02 5.99977244815910e-03 1.77369307422015e-32 1.09550804555331e-29 -1.41157859777902e-27 1.00000000001336e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
9 3.30399000000000e-10 3.61875736605458e-12 -2.49999983279642e-02 5.99971200613315e-03 1.99537628470282e-32 1.38624600109527e-29 -1.58800929703014e-27 1.00000000001691e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
