#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
0 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -2.50000000000000e-02 0.00000000000000e+00 0.00000000000000e+00 6.92998976172067e-24 1.00032191846926e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
1 3.67110000000000e-11 4.45772358173697e-14 -2.70313909534682e-08 -2.47208098934168e-02 2.05570645159731e-33 -1.34193543212465e-27 6.92998963108887e-24 1.00032191846919e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
2 7.34220000000000e-11 1.65637447051155e-13 -1.08125728560727e-07 -2.44416197972661e-02 3.91886300488112e-33 -2.68387283428933e-27 6.92998924159348e-24 1.00032191846922e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
3 1.10133000000000e-10 3.60337524922538e-13 -2.43283006932373e-07 -2.41624297220663e-02 5.83340866076755e-33 -4.02581018685817e-27 6.92998859100855e-24 1.00032191846913e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
4 1.46844000000000e-10 6.35661227647334e-13 -4.32503227961685e-07 -2.38832396783360e-02 7.86044605207192e-33 -5.36774750031933e-27 6.92998768155567e-24 1.00032191846914e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
5 1.83555000000000e-10 9.93688758381455e-13 -6.75786386612931e-07 -2.36040496764149e-02 9.80682140487242e-33 -6.70968453155590e-27 6.92998651323419e-24 1.00032191846923e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
6 2.20266000000000e-10 1.42584061338964e-12 -9.73132465173045e-07 -2.33248597268216e-02 1.16621825152539e-32 -8.05162121964816e-27 6.92998508382222e-24 1.00032191846921e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
7 2.56977000000000e-10 1.93336287253834e-12 -1.32454145370648e-06 -2.30456698400746e-02 1.36703299844967e-32 -9.39355775742452e-27 6.92998339332033e-24 1.00032191846908e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
8 2.93688000000000e-10 2.52732013504985e-12 -1.73001335003725e-06 -2.27664800266925e-02 1.57097243784839e-32 -1.07354939729294e-26 6.92998144394665e-24 1.00032191846904e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
9 3.30399000000000e-10 3.19916550593862e-12 -2.18954813038308e-06 -2.24872902970152e-02 1.75874434558924e-32 -1.20774296235442e-26 6.92997923570097e-24 1.00032191846909e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
10 3.67110000000000e-10 3.94441897809108e-12 -2.70314577300181e-06 -2.22081006615613e-02 1.94757423918043e-32 -1.34193648305817e-26 6.92997676636575e-24 1.00032191846902e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
11 4.03821000000000e-10 4.76841302505716e-12 -3.27080626389471e-06 -2.19289111308493e-02 2.15070106331388e-32 -1.47612996753811e-26 6.92997403815622e-24 1.00032191846904e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
12 4.40532000000000e-10 5.67733484854901e-12 -3.89252958788189e-06 -2.16497217152195e-02 2.34885783584461e-32 -1.61032339159345e-26 6.92997105107235e-24 1.00032191846916e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
13 4.77243000000000e-10 6.66099265437690e-12 -4.56831571144771e-06 -2.13705324251903e-02 2.53388590786818e-32 -1.74451674204373e-26 6.92996780289994e-24 1.00032191846916e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
14 5.13954000000000e-10 7.71899985656652e-12 -5.29816460880106e-06 -2.10913432712802e-02 2.73010424338608e-32 -1.87871003801323e-26 6.92996429364029e-24 1.00032191846905e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
15 5.50665000000000e-10 8.86075953600875e-12 -6.08207626183563e-06 -2.08121542640076e-02 2.93251982073040e-32 -2.01290326947752e-26 6.92996052550406e-24 1.00032191846903e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
