t_us,I_e_A,I_i_A
0.0300,1.097549e-07,5.104152e-09
0.0600,1.104301e-07,5.163902e-09
0.0900,1.037708e-07,4.779950e-09
0.1200,1.081832e-07,4.871781e-09
0.1500,9.241149e-08,4.827622e-09
0.1800,9.835104e-08,5.690007e-09
0.2100,1.079345e-07,3.744255e-09
0.2400,1.067169e-07,3.619268e-09
0.2700,1.179245e-07,2.827120e-09
0.3000,8.717116e-08,4.026626e-09
0.3300,1.008917e-07,3.513169e-09
0.3600,1.035578e-07,3.138233e-09
0.3900,1.014684e-07,4.228986e-09
0.4200,9.099483e-08,5.142376e-09
0.4500,9.806408e-08,3.940336e-09
0.4800,8.865002e-08,4.578217e-09
0.5100,9.763190e-08,3.835769e-09
0.5400,1.042885e-07,6.127728e-09
0.5700,1.176895e-07,4.712641e-09
0.6000,9.373928e-08,4.765790e-09
0.6300,9.710626e-08,4.546224e-09
0.6600,9.309306e-08,4.019886e-09
0.6900,1.062949e-07,3.367917e-09
0.7200,9.344567e-08,5.697915e-09
0.7500,1.172332e-07,2.412725e-09
0.7800,9.655095e-08,5.139085e-09
0.8100,1.042296e-07,4.024364e-09
0.8400,1.151181e-07,6.847728e-09
0.8700,1.088532e-07,3.535119e-09
0.9000,9.378847e-08,3.041193e-09
0.9300,1.093068e-07,3.381068e-09
0.9600,8.692722e-08,3.360198e-09
0.9900,9.750443e-08,1.437105e-09
1.0200,1.189526e-07,2.326940e-09
1.0500,1.140698e-07,3.713329e-09
1.0800,1.001021e-07,2.206065e-09
1.1100,9.142474e-08,2.928243e-09
1.1400,1.091202e-07,1.123544e-09
1.1700,9.952805e-08,2.341625e-09
1.2000,1.081264e-07,6.509835e-09
1.2300,1.176239e-07,4.493600e-09
1.2600,1.161684e-07,1.895054e-09
1.2900,1.080920e-07,1.889131e-09
1.3200,9.686716e-08,3.283138e-09
1.3500,1.212934e-07,3.191829e-09
1.3800,9.849473e-08,7.528543e-09
1.4100,9.235505e-08,5.016513e-09
1.4400,1.200821e-07,2.048701e-09
1.4700,1.118024e-07,5.551334e-09
1.5000,1.087059e-07,5.289210e-09
1.5300,1.034547e-07,4.787414e-09
1.5600,9.723806e-08,3.733280e-09
1.5900,9.405693e-08,5.822576e-09
1.6200,1.157267e-07,6.113854e-09
1.6500,9.540182e-08,3.214462e-09
1.6800,1.008842e-07,1.898528e-09
1.7100,1.134372e-07,4.363997e-09
1.7400,1.050250e-07,5.174979e-09
1.7700,9.201487e-08,2.526355e-09
1.8000,1.084528e-07,3.750279e-09
1.8300,1.037440e-07,2.830906e-09
1.8600,1.190866e-07,5.579265e-09
1.8900,9.553529e-08,2.955757e-09
1.9200,9.708342e-08,1.933600e-09
1.9500,9.885375e-08,6.867173e-09
1.9800,1.125521e-07,5.944762e-09
2.0100,8.753853e-08,3.881346e-09
2.0400,9.054373e-08,3.470660e-09
2.0700,1.044059e-07,3.891703e-09
2.1000,1.150652e-07,3.996733e-09
2.1300,1.160920e-07,1.193237e-09
2.1600,9.540710e-08,8.343010e-09
2.1900,1.032484e-07,2.112719e-09
2.2200,8.991238e-08,4.637016e-09
2.2500,1.126976e-07,3.526013e-09
2.2800,1.089760e-07,6.484961e-09
2.3100,9.369946e-08,2.801024e-09
2.3400,1.155499e-07,2.671856e-09
2.3700,1.010099e-07,4.697908e-09
2.4000,1.071987e-07,8.994600e-09
2.4300,1.111908e-07,4.793077e-09
2.4600,1.073732e-07,2.648962e-09
2.4900,9.816209e-08,2.168621e-09
2.5200,1.063850e-07,4.775485e-09
2.5500,1.121705e-07,1.660691e-09
2.5800,9.991702e-08,5.466648e-09
2.6100,9.458457e-08,6.964111e-09
2.6400,8.813350e-08,9.217994e-09
2.6700,1.056078e-07,3.968888e-09
2.7000,1.034759e-07,2.763895e-09
2.7300,1.198333e-07,5.079018e-09
2.7600,1.019611e-07,4.273760e-09
2.7900,1.024601e-07,2.092252e-09
2.8200,1.018794e-07,2.426637e-09
2.8500,9.458484e-08,6.523342e-09
2.8800,1.042427e-07,8.233910e-09
2.9100,8.964140e-08,2.575380e-09
2.9400,1.006626e-07,4.932938e-09
2.9700,1.068253e-07,2.811506e-09
3.0000,1.071084e-07,6.607985e-09
