t_us,I_e_A,I_i_A
0.0300,4.747927e-06,2.778658e-09
0.0600,4.159358e-06,4.580808e-10
0.0900,3.010217e-06,0.000000e+00
0.1200,2.941442e-06,0.000000e+00
0.1500,2.752696e-06,0.000000e+00
0.1800,2.765780e-06,0.000000e+00
0.2100,2.647965e-06,0.000000e+00
0.2400,2.645987e-06,0.000000e+00
0.2700,2.634662e-06,0.000000e+00
0.3000,2.513081e-06,0.000000e+00
0.3300,2.548488e-06,0.000000e+00
0.3600,2.547259e-06,0.000000e+00
0.3900,2.566581e-06,0.000000e+00
0.4200,2.589171e-06,0.000000e+00
0.4500,2.535223e-06,0.000000e+00
0.4800,2.418016e-06,0.000000e+00
0.5100,2.500442e-06,0.000000e+00
0.5400,2.423547e-06,0.000000e+00
0.5700,2.425248e-06,0.000000e+00
0.6000,2.353464e-06,0.000000e+00
0.6300,2.478761e-06,0.000000e+00
0.6600,2.331086e-06,0.000000e+00
0.6900,2.491357e-06,0.000000e+00
0.7200,2.398266e-06,0.000000e+00
0.7500,2.376013e-06,0.000000e+00
0.7800,2.380144e-06,0.000000e+00
0.8100,2.444130e-06,0.000000e+00
0.8400,2.492549e-06,0.000000e+00
0.8700,2.344516e-06,0.000000e+00
0.9000,2.328350e-06,0.000000e+00
0.9300,2.349119e-06,0.000000e+00
0.9600,2.334250e-06,0.000000e+00
0.9900,2.397224e-06,0.000000e+00
1.0200,2.341951e-06,0.000000e+00
1.0500,2.353631e-06,0.000000e+00
1.0800,2.314536e-06,0.000000e+00
1.1100,2.385476e-06,0.000000e+00
1.1400,2.290191e-06,0.000000e+00
1.1700,2.409303e-06,0.000000e+00
1.2000,2.473176e-06,0.000000e+00
1.2300,2.352410e-06,0.000000e+00
1.2600,2.341842e-06,0.000000e+00
1.2900,2.334254e-06,0.000000e+00
1.3200,2.406908e-06,0.000000e+00
1.3500,2.332615e-06,0.000000e+00
1.3800,2.338392e-06,0.000000e+00
1.4100,2.328881e-06,0.000000e+00
1.4400,2.424831e-06,0.000000e+00
1.4700,2.411485e-06,0.000000e+00
1.5000,2.324279e-06,0.000000e+00
1.5300,2.412042e-06,0.000000e+00
1.5600,2.363104e-06,0.000000e+00
1.5900,2.428540e-06,0.000000e+00
1.6200,2.336029e-06,0.000000e+00
1.6500,2.384325e-06,0.000000e+00
1.6800,2.390476e-06,0.000000e+00
1.7100,2.379170e-06,0.000000e+00
1.7400,2.401142e-06,0.000000e+00
1.7700,2.470639e-06,0.000000e+00
1.8000,2.368298e-06,0.000000e+00
1.8300,2.381991e-06,0.000000e+00
1.8600,2.426566e-06,0.000000e+00
1.8900,2.430302e-06,0.000000e+00
1.9200,2.442377e-06,0.000000e+00
1.9500,2.481856e-06,0.000000e+00
1.9800,2.415878e-06,0.000000e+00
2.0100,2.434778e-06,0.000000e+00
2.0400,2.454104e-06,0.000000e+00
2.0700,2.374014e-06,0.000000e+00
2.1000,2.494060e-06,0.000000e+00
2.1300,2.473872e-06,0.000000e+00
2.1600,2.438167e-06,0.000000e+00
2.1900,2.421273e-06,0.000000e+00
2.2200,2.362014e-06,0.000000e+00
2.2500,2.529990e-06,0.000000e+00
2.2800,2.321800e-06,0.000000e+00
2.3100,2.412855e-06,0.000000e+00
2.3400,2.481066e-06,0.000000e+00
2.3700,2.403889e-06,0.000000e+00
2.4000,2.405171e-06,0.000000e+00
2.4300,2.398763e-06,0.000000e+00
2.4600,2.405622e-06,0.000000e+00
2.4900,2.466336e-06,0.000000e+00
2.5200,2.480381e-06,0.000000e+00
2.5500,2.379590e-06,0.000000e+00
2.5800,2.376086e-06,0.000000e+00
2.6100,2.349258e-06,0.000000e+00
2.6400,2.438448e-06,0.000000e+00
2.6700,2.440696e-06,0.000000e+00
2.7000,2.426616e-06,0.000000e+00
2.7300,2.384653e-06,0.000000e+00
2.7600,2.427455e-06,0.000000e+00
2.7900,2.485873e-06,0.000000e+00
2.8200,2.476511e-06,0.000000e+00
2.8500,2.479942e-06,0.000000e+00
2.8800,2.364896e-06,0.000000e+00
2.9100,2.417116e-06,0.000000e+00
2.9400,2.451839e-06,0.000000e+00
2.9700,2.451774e-06,0.000000e+00
3.0000,2.382372e-06,0.000000e+00
