t_ns,collector_uA,anode_uA,cathode_uA,radial_uA
0.6000,0.000000e+00,2.444612e-03,0.000000e+00,0.000000e+00
0.7200,0.000000e+00,2.264396e-01,0.000000e+00,0.000000e+00
0.8400,0.000000e+00,2.638912e-01,0.000000e+00,0.000000e+00
0.9600,1.455434e-01,2.622939e-01,0.000000e+00,0.000000e+00
1.0800,8.442510e+00,2.633147e-01,0.000000e+00,0.000000e+00
1.2000,9.707919e+00,2.654362e-01,0.000000e+00,0.000000e+00
1.3200,9.738103e+00,2.590127e-01,0.000000e+00,0.000000e+00
1.4400,9.728687e+00,2.690895e-01,0.000000e+00,0.000000e+00
1.5600,9.717418e+00,2.730444e-01,0.000000e+00,0.000000e+00
1.6800,9.770623e+00,2.656202e-01,0.000000e+00,0.000000e+00
1.8000,9.732500e+00,2.641835e-01,0.000000e+00,0.000000e+00
1.9200,9.714314e+00,2.749345e-01,0.000000e+00,0.000000e+00
2.0400,9.724408e+00,2.692291e-01,0.000000e+00,0.000000e+00
2.1600,9.748462e+00,2.668648e-01,0.000000e+00,0.000000e+00
2.2800,9.734262e+00,2.625926e-01,0.000000e+00,0.000000e+00
2.4000,9.721493e+00,2.650470e-01,0.000000e+00,0.000000e+00
2.5200,9.713621e+00,2.703578e-01,0.000000e+00,0.000000e+00
2.6400,9.749689e+00,2.770099e-01,0.000000e+00,0.000000e+00
2.7600,9.755244e+00,2.640836e-01,0.000000e+00,0.000000e+00
2.8800,9.718562e+00,2.648496e-01,0.000000e+00,0.000000e+00
3.0000,9.715798e+00,2.748354e-01,0.000000e+00,0.000000e+00
3.1200,9.751567e+00,2.703113e-01,0.000000e+00,0.000000e+00
3.2400,9.729821e+00,2.718949e-01,0.000000e+00,0.000000e+00
3.3600,9.718449e+00,2.782465e-01,0.000000e+00,0.000000e+00
3.4800,9.750146e+00,2.739005e-01,0.000000e+00,0.000000e+00
3.6000,9.704666e+00,2.746185e-01,0.000000e+00,0.000000e+00
3.7200,9.734275e+00,2.710255e-01,0.000000e+00,0.000000e+00
3.8400,9.714664e+00,2.651795e-01,0.000000e+00,0.000000e+00
3.9600,9.743911e+00,2.806352e-01,0.000000e+00,0.000000e+00
4.0800,9.709610e+00,2.690317e-01,0.000000e+00,0.000000e+00
4.2000,9.728628e+00,2.730250e-01,0.000000e+00,0.000000e+00
4.3200,9.736628e+00,2.750067e-01,0.000000e+00,0.000000e+00
4.4400,9.727791e+00,2.842278e-01,0.000000e+00,0.000000e+00
4.5600,9.731516e+00,2.771933e-01,0.000000e+00,0.000000e+00
4.6800,9.713084e+00,2.797019e-01,0.000000e+00,0.000000e+00
4.8000,9.707403e+00,2.673820e-01,0.000000e+00,0.000000e+00
4.9200,9.712294e+00,2.643645e-01,0.000000e+00,0.000000e+00
5.0400,9.750026e+00,2.595957e-01,0.000000e+00,0.000000e+00
5.1600,9.730034e+00,2.611358e-01,0.000000e+00,0.000000e+00
5.2800,9.725878e+00,2.708217e-01,0.000000e+00,0.000000e+00
5.4000,9.749182e+00,2.631804e-01,0.000000e+00,0.000000e+00
5.5200,9.742198e+00,2.777595e-01,0.000000e+00,0.000000e+00
5.6400,9.716252e+00,2.670150e-01,0.000000e+00,0.000000e+00
5.7600,9.747604e+00,2.757372e-01,0.000000e+00,0.000000e+00
5.8800,9.733118e+00,2.623880e-01,0.000000e+00,0.000000e+00
6.0000,9.718096e+00,2.731801e-01,0.000000e+00,0.000000e+00
