t_ns,collector_uA,anode_uA,cathode_uA,radial_uA
0.6000,0.000000e+00,2.079814e-01,0.000000e+00,0.000000e+00
0.7200,0.000000e+00,2.059272e+01,0.000000e+00,0.000000e+00
0.8400,0.000000e+00,3.117691e+01,0.000000e+00,0.000000e+00
0.9600,1.677356e+01,3.611675e+01,0.000000e+00,0.000000e+00
1.0800,3.037081e+02,3.817933e+01,0.000000e+00,0.000000e+00
1.2000,3.365547e+02,3.963589e+01,0.000000e+00,0.000000e+00
1.3200,3.484748e+02,3.958050e+01,0.000000e+00,0.000000e+00
1.4400,3.542144e+02,4.025563e+01,0.000000e+00,0.000000e+00
1.5600,3.575743e+02,4.069224e+01,0.000000e+00,0.000000e+00
1.6800,3.598832e+02,4.009955e+01,0.000000e+00,0.000000e+00
1.8000,3.588831e+02,4.025590e+01,0.000000e+00,0.000000e+00
1.9200,3.589616e+02,3.985974e+01,0.000000e+00,0.000000e+00
2.0400,3.600124e+02,4.076682e+01,0.000000e+00,0.000000e+00
2.1600,3.600763e+02,3.980162e+01,0.000000e+00,0.000000e+00
2.2800,3.598687e+02,4.007976e+01,0.000000e+00,0.000000e+00
2.4000,3.594147e+02,3.974662e+01,0.000000e+00,0.000000e+00
2.5200,3.596134e+02,3.952388e+01,0.000000e+00,0.000000e+00
2.6400,3.601197e+02,4.097247e+01,0.000000e+00,0.000000e+00
2.7600,3.602275e+02,4.038520e+01,0.000000e+00,0.000000e+00
2.8800,3.603776e+02,4.012767e+01,0.000000e+00,0.000000e+00
3.0000,3.591332e+02,4.052401e+01,0.000000e+00,0.000000e+00
3.1200,3.600090e+02,4.094295e+01,0.000000e+00,0.000000e+00
3.2400,3.598608e+02,4.013555e+01,0.000000e+00,0.000000e+00
3.3600,3.590936e+02,4.059945e+01,0.000000e+00,0.000000e+00
3.4800,3.592892e+02,4.063784e+01,0.000000e+00,0.000000e+00
3.6000,3.593880e+02,3.929746e+01,0.000000e+00,0.000000e+00
3.7200,3.596441e+02,3.949783e+01,0.000000e+00,0.000000e+00
3.8400,3.596543e+02,3.969679e+01,0.000000e+00,0.000000e+00
3.9600,3.610412e+02,3.990781e+01,0.000000e+00,0.000000e+00
4.0800,3.599711e+02,3.988933e+01,0.000000e+00,0.000000e+00
4.2000,3.601257e+02,4.036502e+01,0.000000e+00,0.000000e+00
4.3200,3.612616e+02,4.022312e+01,0.000000e+00,0.000000e+00
4.4400,3.587205e+02,4.105068e+01,0.000000e+00,0.000000e+00
4.5600,3.602677e+02,3.965769e+01,0.000000e+00,0.000000e+00
4.6800,3.598964e+02,4.054748e+01,0.000000e+00,0.000000e+00
4.8000,3.589063e+02,4.029037e+01,0.000000e+00,0.000000e+00
4.9200,3.601037e+02,4.126335e+01,0.000000e+00,0.000000e+00
5.0400,3.594005e+02,3.980449e+01,0.000000e+00,0.000000e+00
5.1600,3.598948e+02,3.985402e+01,0.000000e+00,0.000000e+00
5.2800,3.588787e+02,4.003899e+01,0.000000e+00,0.000000e+00
5.4000,3.599592e+02,3.940333e+01,0.000000e+00,0.000000e+00
5.5200,3.602114e+02,4.010967e+01,0.000000e+00,0.000000e+00
5.6400,3.601863e+02,4.014302e+01,0.000000e+00,0.000000e+00
5.7600,3.610708e+02,4.047781e+01,0.000000e+00,0.000000e+00
5.8800,3.597888e+02,3.987429e+01,0.000000e+00,0.000000e+00
6.0000,3.591711e+02,4.050960e+01,0.000000e+00,0.000000e+00
