t_ns,collector_uA,anode_uA,cathode_uA,radial_uA
0.1000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.2000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.3000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.4000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.5000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.6000,5.420817e+01,0.000000e+00,0.000000e+00,0.000000e+00
0.7000,5.985327e+02,0.000000e+00,0.000000e+00,0.000000e+00
0.8000,6.173343e+02,0.000000e+00,0.000000e+00,0.000000e+00
0.9000,6.264898e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.0000,6.288151e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.1000,6.301028e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.2000,6.301849e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.3000,6.292458e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.4000,6.310223e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.5000,6.291963e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.6000,6.302340e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.7000,6.296295e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.8000,6.300261e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.9000,6.305709e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.0000,6.297101e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.1000,6.301451e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.2000,6.293905e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.3000,6.309398e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.4000,6.296631e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.5000,6.291704e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.6000,6.306476e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.7000,6.294318e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.8000,6.311990e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.9000,6.295548e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.0000,6.301090e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.1000,6.303180e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.2000,6.292652e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.3000,6.300289e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.4000,6.306566e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.5000,6.296476e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.6000,6.295619e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.7000,6.303397e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.8000,6.304936e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.9000,6.299877e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.0000,6.292905e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.1000,6.301968e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.2000,6.301975e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.3000,6.300645e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.4000,6.300074e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.5000,6.294296e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.6000,6.300965e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.7000,6.299816e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.8000,6.304313e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.9000,6.299704e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.0000,6.294528e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.1000,6.305286e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.2000,6.296283e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.3000,6.305730e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.4000,6.294191e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.5000,6.304014e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.6000,6.296406e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.7000,6.295480e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.8000,6.301343e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.9000,6.301432e+02,0.000000e+00,0.000000e+00,0.000000e+00
6.0000,6.307625e+02,0.000000e+00,0.000000e+00,0.000000e+00
